,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
31341,12618498,49291,BANKNIFTY2221040100CE,BANKNIFTY,0.0,2022-02-10,40100.0,0.05,25,CE,NFO-OPT,NFO
31342,12618754,49292,BANKNIFTY2221040100PE,BANKNIFTY,0.0,2022-02-10,40100.0,0.05,25,PE,NFO-OPT,NFO
31343,12620034,49297,BANKNIFTY2221040200CE,BANKNIFTY,0.0,2022-02-10,40200.0,0.05,25,CE,NFO-OPT,NFO
31344,12620290,49298,BANKNIFTY2221040200PE,BANKNIFTY,0.0,2022-02-10,40200.0,0.05,25,PE,NFO-OPT,NFO
31345,12620546,49299,BANKNIFTY2221040300CE,BANKNIFTY,0.0,2022-02-10,40300.0,0.05,25,CE,NFO-OPT,NFO
31346,12620802,49300,BANKNIFTY2221040300PE,BANKNIFTY,0.0,2022-02-10,40300.0,0.05,25,PE,NFO-OPT,NFO
31347,12622594,49307,BANKNIFTY2221040400CE,BANKNIFTY,0.0,2022-02-10,40400.0,0.05,25,CE,NFO-OPT,NFO
31348,12622850,49308,BANKNIFTY2221040400PE,BANKNIFTY,0.0,2022-02-10,40400.0,0.05,25,PE,NFO-OPT,NFO
31349,12623106,49309,BANKNIFTY2221040500CE,BANKNIFTY,0.0,2022-02-10,40500.0,0.05,25,CE,NFO-OPT,NFO
31350,12623362,49310,BANKNIFTY2221040500PE,BANKNIFTY,0.0,2022-02-10,40500.0,0.05,25,PE,NFO-OPT,NFO
31351,12623618,49311,BANKNIFTY2221040600CE,BANKNIFTY,0.0,2022-02-10,40600.0,0.05,25,CE,NFO-OPT,NFO
31352,12623874,49312,BANKNIFTY2221040600PE,BANKNIFTY,0.0,2022-02-10,40600.0,0.05,25,PE,NFO-OPT,NFO
31353,12624130,49313,BANKNIFTY2221040700CE,BANKNIFTY,0.0,2022-02-10,40700.0,0.05,25,CE,NFO-OPT,NFO
31354,12624386,49314,BANKNIFTY2221040700PE,BANKNIFTY,0.0,2022-02-10,40700.0,0.05,25,PE,NFO-OPT,NFO
14574,260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
